team,beta0,home_adv,alpha,attack_A,defense_D,mu_home_for,mu_home_against,mu_away_for,mu_away_against,mu_total_home_match,mu_total_away_match
Tottenham Hotspur,1.4764373346859627,0.16844112238157433,0.016374463269144147,0.22233636697119846,0.12756585105167467,6.4702504943017205,4.972900073567007,5.467238813311935,5.88522108834286,11.443150567868727,11.352459901654795
Newcastle United,1.4764373346859627,0.16844112238157433,0.016374463269144147,0.21619240179137614,0.1894047276254354,6.43061937134698,5.290125990474212,5.433751266914139,6.260644810583882,11.72074536182119,11.69439607749802
Arsenal,1.4764373346859627,0.16844112238157433,0.016374463269144147,0.18859406477651627,-0.42163106891254815,6.25557159503718,2.8714188079095027,5.285839219665315,3.398205126139182,9.126990402946683,8.684044345804496
West Ham United,1.4764373346859627,0.16844112238157433,0.016374463269144147,0.18139323748645503,0.32383722188410013,6.210688097478853,6.0513086629069095,5.247913516457349,7.161472949016358,12.261996760385763,12.409386465473707
Manchester City,1.4764373346859627,0.16844112238157433,0.016374463269144147,0.1789832546761911,-0.07751441407437144,6.1957384673354925,4.050834545918987,5.235281362843448,4.793994760069648,10.24657301325448,10.029276122913096
Chelsea,1.4764373346859627,0.16844112238157433,0.016374463269144147,0.15232795765428728,-0.2153736724496551,6.032770842435156,3.5291733400668472,5.097576814162827,4.176630348110081,9.561944182502003,9.274207162272909
Nottingham Forest,1.4764373346859627,0.16844112238157433,0.016374463269144147,0.14534320469311326,0.03810786710671508,5.990780246115704,4.5473525287058205,5.062095557572529,5.381603209829332,10.538132774821523,10.44369876740186
Fulham,1.4764373346859627,0.16844112238157433,0.016374463269144147,0.11245761252325866,0.034070748879459836,5.796974071428846,4.529031336220212,4.898333019871606,5.359920838017152,10.326005407649058,10.258253857888757
Brentford,1.4764373346859627,0.16844112238157433,0.016374463269144147,0.11153666027692138,-0.0740874174306536,5.791637792741891,4.064740556628422,4.893823965704128,4.810451947278556,9.856378349370313,9.704275912982684
Liverpool,1.4764373346859627,0.16844112238157433,0.016374463269144147,0.10352532090072915,0.04641569060758919,5.745424379678622,4.585288495373702,4.854774509146357,5.426498853767003,10.330712875052324,10.28127336291336
AFC Bournemouth,1.4764373346859627,0.16844112238157433,0.016374463269144147,0.08221523597842653,-0.12658495999998923,5.624284235917834,3.85685611907249,4.752413387826178,4.564429333161377,9.481140354990323,9.316842720987555
Brighton & Hove Albion,1.4764373346859627,0.16844112238157433,0.016374463269144147,0.07414774774432357,-0.06514182843972938,5.579092924310379,4.101265178561821,4.714227587591342,4.853677323229455,9.6803581028722,9.567904910820797
Aston Villa,1.4764373346859627,0.16844112238157433,0.016374463269144147,0.06638297246883533,0.033517093254841535,5.535940273641666,4.526524506571044,4.677764417140514,5.35695410904655,10.06246478021271,10.034718526187064
Manchester United,1.4764373346859627,0.16844112238157433,0.016374463269144147,-0.056744897738381,-0.08202747666892778,4.894604907927479,4.032594067223875,4.135848210516026,4.772407909682577,8.927198975151354,8.908256120198603
Everton,1.4764373346859627,0.16844112238157433,0.016374463269144147,-0.13412897102452376,0.04638746181459995,4.530124787581486,4.58515906004088,3.8278694294176483,5.426345672416276,9.115283847622365,9.254215101833925
Leeds United,1.4764373346859627,0.16844112238157433,0.016374463269144147,-0.23199372248270092,-0.3593565084880301,4.107788207325894,3.0559204071915267,3.471003038249589,3.6165551204813555,7.16370861451742,7.087558158730944
Crystal Palace,1.4764373346859627,0.16844112238157433,0.016374463269144147,-0.23829598891302434,0.08027243465276751,4.081981238219438,4.743189355928254,3.4491966393664217,5.613367976543599,8.825170594147693,9.06256461591002
Sunderland,1.4764373346859627,0.16844112238157433,0.016374463269144147,-0.30382767916523473,-0.03868090887674874,3.8230585809966477,4.2112369875548685,3.230411910326797,4.9838244003543855,8.034295568551517,8.214236310681184
Burnley,1.4764373346859627,0.16844112238157433,0.016374463269144147,-0.3765736120577948,0.2658078390157299,3.5548214786199357,5.7101493186451835,3.003756651990843,6.757725007647779,9.26497079726512,9.761481659638623
Wolverhampton Wanderers,1.4764373346859627,0.16844112238157433,0.016374463269144147,-0.4938711665599726,0.2750113194477404,3.161375730172068,5.762945146178137,2.671302465133447,6.820206680912245,8.924320876350205,9.491509146045692
